t_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,r_m,E_spec
121.0,6707519.716685195,574666.091579345,725048.1615115111,-1047.6162491551659,4719.537702335014,5954.574638044035,6771023.31284149,-29392872.139943853
122.0,6706467.798605954,579385.2607228109,731002.2711439902,-1056.2192339485784,4718.797558047581,5953.640808359773,6771023.699153556,-29392872.13994278
123.0,6705407.278217298,584103.6866954402,736955.4431282305,-1064.8208624632803,4718.051361140307,5952.699342169801,6771024.088624781,-29392872.13994169
124.0,6704338.156881027,588821.3634450915,742907.6698283297,-1073.4211236544927,4717.299112573461,5951.75024068568,6771024.481254663,-29392872.139940605
125.0,6703260.435969988,593538.2849205872,748858.9436096018,-1082.0200064792048,4716.540813315101,5950.793505128798,6771024.8770427,-29392872.139939506
126.0,6702174.116868068,598254.4450717217,754809.2568385873,-1090.6174998961867,4715.776464341074,5949.829136730361,6771025.275988383,-29392872.13993839
127.0,6701079.200970195,602969.8378492693,760758.6018830626,-1099.2135928660045,4715.006066635006,5948.857136731402,6771025.6780912,-29392872.139937274
128.0,6699975.689682336,607684.4572049917,766706.9711120501,-1107.8082743510345,4714.229621188311,5947.877506382771,6771026.083350634,-29392872.139936138
129.0,6698863.584421493,612398.297091646,772654.3568958282,-1116.401533315477,4713.447129000183,5946.890246945137,6771026.491766166,-29392872.139934998
130.0,6697742.886615705,617111.3514629921,778600.7516059404,-1124.9933587253713,4712.658591077596,5945.895359688987,6771026.903337269,-29392872.13993385
131.0,6696613.597704042,621823.6142738011,784546.1476152062,-1133.583739548609,4711.864008435305,5944.892845894622,6771027.3180634165,-29392872.139932692
132.0,6695475.719136607,626535.0794798626,790490.5372977298,-1142.1726647549492,4711.063382095842,5943.882706852157,6771027.7359440755,-29392872.139931533
133.0,6694329.252374532,631245.7410379928,796433.9130289105,-1150.7601233160321,4710.256713089516,5942.8649438615175,6771028.15697871,-29392872.139930356
134.0,6693174.1988899745,635955.5929060417,802376.2671854527,-1159.3461042053937,4709.444002454412,5941.839558232442,6771028.581166778,-29392872.139929175
135.0,6692010.5601661205,640664.6290429016,808317.5921453754,-1167.9305963984796,4708.625251236389,5940.806551284474,6771029.008507736,-29392872.139927983
136.0,6690838.337697178,645372.8434085144,814257.8802880218,-1176.5135888726597,4707.800460489078,5939.765924346967,6771029.439001035,-29392872.139926776
137.0,6689657.532988376,650080.2299638797,820197.1239940694,-1185.0950706072422,4706.969631273882,5938.717678759077,6771029.872646122,-29392872.139925566
138.0,6688468.147555964,654786.7826710622,826135.31564554,-1193.6750305834873,4706.132764659973,5937.661815869764,6771030.30944244,-29392872.139924347
139.0,6687270.182927209,659492.4954931996,832072.447625809,-1202.2534577846232,4705.289861724293,5936.59833703779,6771030.749389429,-29392872.13992312
140.0,6686063.640640395,664197.3623945107,838008.5123196157,-1210.8303411958577,4704.440923551549,5935.5272436317155,6771031.192486522,-29392872.139921892
141.0,6684848.522244818,668901.3773403027,843943.5021130724,-1219.405669804395,4703.585951234215,5934.448537029901,6771031.638733151,-29392872.139920652
142.0,6683624.829300785,673604.5342969791,849877.4093936754,-1227.9794325994485,4702.724945872531,5933.3622186205,6771032.088128745,-29392872.139919396
143.0,6682392.563379618,678306.8272320477,855810.2265503134,-1236.5516185722552,4701.857908574497,5932.268289801464,6771032.540672725,-29392872.13991813
144.0,6681151.726063641,683008.2501141281,861741.9459732783,-1245.12221671609,4700.984840455875,5931.166751980533,6771032.996364509,-29392872.139916874
145.0,6679902.3189461855,687708.7969129595,867672.5600542744,-1253.69121602628,4700.1057426401885,5930.057606575242,6771033.455203514,-29392872.139915586
146.0,6678644.343631588,692408.4615994085,873602.0611864286,-1262.258605500219,4699.220616258718,5928.940855012911,6771033.91718915,-29392872.139914293
147.0,6677377.801735184,697107.2381454769,879530.4417643001,-1270.8243741373808,4698.329462450502,5927.816498730648,6771034.382320821,-29392872.139913023
148.0,6676102.694883312,701805.1205243095,885457.6941838899,-1279.3885109393348,4697.432282362335,5926.684539175348,6771034.850597936,-29392872.139911704
149.0,6674819.024713305,706502.1027102016,891383.8108426508,-1287.9510049097587,4696.5290771487635,5925.5449778036855,6771035.322019889,-29392872.139910392
150.0,6673526.792873492,711198.1786786071,897308.7841394973,-1296.511845054454,4695.619847972088,5924.39781608212,6771035.796586076,-29392872.139909066
151.0,6672226.001023197,715893.3424061459,903232.606474815,-1305.0710203813594,4694.704596002359,5923.243055486888,6771036.274295888,-29392872.139907733
